,,W0,W1,W2,W3,W4,W5
F0,S0,4.43918416217731e-08,1.0470457000736569e-07,2.182294313521922e-09,1.7516836350594418e-07,8.777022012525061e-09,8.549391113192338e-09
F0,S1,4.6808720642395256e-08,1.0154539407208207e-07,1.4720820511292589e-09,1.858290662099095e-07,6.016225760212054e-09,7.052302343246778e-09
F0,S2,3.638860057770472e-08,1.0471211818882901e-07,1.610490359862175e-09,1.9920140414419512e-07,5.334703268215209e-09,7.555545092638856e-09
F0,S3,4.257621790723534e-08,1.0474749515068987e-07,1.516546025913948e-09,1.5182274039898024e-07,6.785019031293415e-09,7.667885006577007e-09
F0,S4,4.310226275021634e-08,1.1550792860008945e-07,2.5165858560641907e-09,1.7532582476165326e-07,7.2877004710040755e-09,8.529556494800474e-09
F0,S5,4.410663206369504e-08,1.636518804254855e-07,2.5929104144634123e-09,3.1097000634129065e-07,7.161960975690832e-09,8.703480471042722e-09
F0,S6,3.9961385270761404e-08,1.072803195563389e-07,1.5578061145633404e-09,1.7181191357734513e-07,4.677552120220433e-09,7.037935601459864e-09
F0,S7,4.1875880557300694e-08,1.0305129526084593e-07,1.520625065339666e-09,1.8192949166697724e-07,3.945217484915755e-09,6.8445858227812586e-09
F0,S8,3.9447430056653673e-08,1.075648212932373e-07,1.8014094125042466e-09,1.5569796617703931e-07,7.559971041265174e-09,8.091320067551307e-09
F0,S9,4.762461065683485e-08,1.167623515996562e-07,1.4454284657655595e-09,1.8951645593898115e-07,3.5907757388738212e-09,6.683034753176416e-09
F0,S10,3.7756686959396306e-08,1.0347878326499363e-07,1.6456196303205957e-09,1.4429206800349673e-07,4.908919310494245e-09,7.3217404808352e-09
F0,S11,4.927536622192836e-08,1.1967785963973385e-07,1.4383882024173041e-09,1.9041664164363916e-07,3.587045376519643e-09,6.67490545774491e-09
F0,S12,4.352089241362109e-08,1.0215720531158174e-07,1.5183171743065448e-09,1.6491427040894318e-07,4.044543730183638e-09,6.959111501838696e-09
F0,S13,4.55752217185873e-08,1.0748978823350036e-07,1.4721271011878318e-09,1.641481175730343e-07,7.293413634632189e-09,7.988272982481988e-09
F0,S14,3.870108939161869e-08,1.1667175121097866e-07,1.5551042626343391e-09,1.8297437562178012e-07,3.8630715093175296e-09,6.698898731941055e-09
F0,S15,3.710775775334414e-08,1.0252759464449392e-07,1.6649354248193274e-09,1.3451439013451936e-07,4.192694907232533e-09,7.1084132245022925e-09
F0,S16,3.682363286458776e-08,1.1720477153369308e-07,1.588819148551277e-09,1.8548820937552334e-07,3.758627243384967e-09,6.739743008599701e-09
F0,S17,4.407988926706389e-08,1.0716811510788472e-07,3.2171793852647957e-09,2.1342462083987384e-07,7.814043296757479e-09,8.841514628071143e-09
F0,S18,4.734260617930942e-08,1.0945949428910582e-07,1.4574801369026907e-09,1.8968984071344958e-07,4.273772720559191e-09,6.934030216238136e-09
F0,S19,3.824349645355426e-08,1.042625829692153e-07,1.5630832420888135e-09,4.160501587231075e-07,6.30983618440716e-09,9.31648648354836e-09
F0,S20,4.324006609187456e-08,1.0292244193411736e-07,2.17982534792604e-09,1.5455867968373347e-07,4.841659129274468e-09,7.29190311336955e-09
F0,S21,4.879249998788787e-08,1.0470140725109341e-07,1.4430348532539286e-09,1.908620601885198e-07,4.2050573854958e-09,6.908135115501692e-09
F0,S22,4.219868606274526e-08,1.025535890213568e-07,1.5112163973984268e-09,1.7159874895230028e-07,4.7379040227916656e-09,7.414126370425951e-09
