,,W0,W1,W2
F0,S0,4.482736240018232e-06,0.0,2.5620511535105148e-08
F0,S1,4.188939734445879e-06,4.847672220791281e-06,2.431159314879661e-08
F0,S2,7.172835827779787e-06,1.0220103011222628e-05,3.351697859919463e-08
F0,S3,4.617710760080266e-05,1.1492153836330738e-05,5.0497451199656036e-08
F0,S4,5.268351264668631e-06,7.599180063243771e-06,2.607802492238464e-08
F0,S5,9.643108062990594e-06,5.688372059635229e-06,3.0725822038503566e-08
F0,S6,3.0176588734214782e-06,8.567274193884975e-06,2.3315332767217986e-08
F0,S7,6.1794696427941904e-06,5.449539215970375e-06,2.6497996687304188e-08
F0,S8,3.6945183923347887e-06,6.336483252218803e-06,2.3560197447411045e-08
F0,S9,6.773661212520305e-06,5.921762014075931e-06,2.7418672099648172e-08
F0,S10,3.969417523060083e-06,4.572294437741748e-06,2.423199115538964e-08
F0,S11,4.654695588978101e-06,6.895088007349257e-06,2.4310107418449303e-08
F0,S12,5.048574207202669e-06,6.084533512169822e-06,2.640911858440354e-08
F0,S13,7.388107696553808,1.2105254213466699e-05,9.156681713730158e-07
F0,S14,6.156205746964408e-06,7.678574351233416e-06,2.7325846765149898e-08
F0,S15,4.229504943413405e-06,5.49644199914699e-06,2.4517355728722784e-08
F0,S16,4.2845042688209935e-06,5.597536855600639e-06,2.483585564869159e-08
F0,S17,5.383208339004389e-06,4.974133599553944e-06,2.5053602458880294e-08
F0,S18,5.1683803891594364e-06,4.7754228009431565e-06,2.4594051864268e-08
F0,S19,4.9079993905922335e-06,6.066415301235785e-06,2.7782662862523896e-08
F0,S20,3.9541455671484245e-06,5.481026053419385e-06,2.5331456229808042e-08
F0,S21,4.472555766493808e-06,5.367592717350316e-06,2.4083949657690454e-08
F0,S22,9.599053080192249e-06,1.252456906125421e-05,4.3889667636805174e-08
F0,S23,8.30734456601557e-06,0.0,2.7104701174315788e-08
F0,S24,5.848903522900772e-06,7.236116812436099e-06,2.616473496956433e-08
F0,S25,4.5828781829688384e-06,4.911161951564394e-06,2.4978328194273458e-08
F0,S26,5.6533711677735775e-06,5.482142402313419e-06,2.6033587643783468e-08
F0,S27,4.590143130911687e-06,1.1208370023055838e-05,2.5970373967080412e-08
F0,S28,3.716513880218009e-05,6.45476110886365e-06,3.480518083106431e-08
F0,S29,7.452121813864697e-06,5.864376284276297e-06,2.676005500617994e-08
F0,S30,3.874870926739536e-06,7.997644054616376e-06,2.3686496896074554e-08
F0,S31,3.2364959923397624e-06,4.614716703834271e-06,2.3492352388390973e-08
F0,S32,4.4443057023094335e-06,5.920860402790607e-06,2.5005664918308498e-08
F0,S33,3.2431654825151147e-06,7.283101989499828e-06,2.318621149401292e-08
F0,S34,1.298797528103572e-05,1.2902712963756466e-05,3.1571989148331264e-08
F0,S35,1.026729317707695e-05,8.65720982410396e-05,1.3341305355867579e-07
F0,S36,4.167489464307391e-06,5.4225687375054135e-06,2.4223964715008037e-08
F0,S37,5.751931404505514e-06,4.819377569984905e-06,2.555288222016885e-08
F0,S38,4.540328336563649e-06,0.0,2.542481715179361e-08
F0,S39,3.2301372449476382e-06,4.650494735816874e-06,2.356880200993154e-08
F0,S40,5.410199458680259e-06,9.909695533794906e-06,2.7999243595665057e-08
F0,S41,3.933807608872607e-06,4.936885556834224e-06,2.3958177995250606e-08
F0,S42,9.590904606352395e-06,6.74000679309609e-06,3.063543376759269e-08
F0,S43,7.473632704736502e-06,7.3004224350486525e-06,0.0
F0,S44,4.974135821625857e-06,4.945627354861774e-06,2.4785320186371262e-08
