,,W0,W1,W2,W3,W4,W5
F0,S0,4.4391841621773095e-08,1.0470457000736568e-07,2.182294313521922e-09,1.7516836350594418e-07,8.777022012525061e-09,8.549391113192338e-09
F0,S1,4.6808720642395256e-08,1.0154539407208207e-07,1.4720820511292589e-09,1.858290662099095e-07,6.016225760212054e-09,7.052302343246777e-09
F0,S2,3.6388600577704714e-08,1.0471211818882901e-07,1.610490359862175e-09,1.9920140414419512e-07,5.3347032682152094e-09,7.555545092638856e-09
F0,S3,4.2576217907235334e-08,1.0474749515068989e-07,1.516546025913948e-09,1.5182274039898026e-07,6.785019031293414e-09,7.667885006577007e-09
F0,S4,4.3102262750216335e-08,1.1550792860008946e-07,2.516585856064191e-09,1.7532582476165323e-07,7.287700471004075e-09,8.529556494800474e-09
F0,S5,4.410663206369504e-08,1.636518804254855e-07,2.5929104144634123e-09,3.1097000634129065e-07,7.1619609756908326e-09,8.703480471042722e-09
F0,S6,3.9961385270761404e-08,1.072803195563389e-07,1.5578061145633404e-09,1.718119135773451e-07,4.6775521202204335e-09,7.037935601459864e-09
F0,S7,4.187588055730069e-08,1.0305129526084593e-07,1.520625065339666e-09,1.8192949166697727e-07,3.945217484915755e-09,6.844585822781258e-09
F0,S8,3.9447430056653673e-08,1.0756482129323731e-07,1.8014094125042464e-09,1.5569796617703931e-07,7.559971041265174e-09,8.091320067551307e-09
F0,S9,4.7624610656834855e-08,1.167623515996562e-07,1.4454284657655595e-09,1.8951645593898112e-07,3.590775738873821e-09,6.6830347531764154e-09
F0,S10,3.775668695939631e-08,1.0347878326499363e-07,1.6456196303205955e-09,1.4429206800349673e-07,4.908919310494245e-09,7.321740480835201e-09
F0,S11,4.9275366221928357e-08,1.1967785963973385e-07,1.438388202417304e-09,1.904166416436392e-07,3.5870453765196426e-09,6.67490545774491e-09
F0,S12,4.352089241362109e-08,1.0215720531158174e-07,1.5183171743065446e-09,1.6491427040894318e-07,4.044543730183638e-09,6.959111501838696e-09
F0,S13,4.55752217185873e-08,1.0748978823350036e-07,1.4721271011878316e-09,1.6414811757303428e-07,7.293413634632189e-09,7.988272982481988e-09
F0,S14,3.8701089391618684e-08,1.1667175121097865e-07,1.5551042626343391e-09,1.829743756217801e-07,3.8630715093175296e-09,6.698898731941055e-09
F0,S15,3.710775775334414e-08,1.0252759464449392e-07,1.6649354248193274e-09,1.3451439013451936e-07,4.1926949072325325e-09,7.1084132245022925e-09
F0,S16,3.6823632864587766e-08,1.1720477153369308e-07,1.5888191485512772e-09,1.8548820937552334e-07,3.758627243384967e-09,6.739743008599702e-09
F0,S17,4.4079889267063886e-08,1.0716811510788472e-07,3.217179385264796e-09,2.1342462083987387e-07,7.814043296757479e-09,8.841514628071143e-09
F0,S18,4.734260617930941e-08,1.0945949428910582e-07,1.4574801369026907e-09,1.8968984071344963e-07,4.2737727205591906e-09,6.934030216238137e-09
F0,S19,3.824349645355426e-08,1.042625829692153e-07,1.5630832420888135e-09,4.160501587231075e-07,6.3098361844071605e-09,9.31648648354836e-09
