,,W0,W1,W2
F0,S0,1.8480547478192734e-05,5.678792945197743e-07,2.170592685331971e-08
F0,S1,8.902539078509453e-06,5.869352507308232e-07,2.246087644356925e-08
F0,S2,8.898886847698616e-06,5.929616165180124e-07,2.247023292075979e-08
F0,S3,1.9148558977199523e-05,5.778046728229252e-07,2.3654619772792025e-08
F0,S4,1.571148711289095e-05,5.961353235465901e-07,2.2907597366946514e-08
F0,S5,1.5913176045525076e-05,5.710612185772469e-07,2.3661896239539452e-08
F0,S6,1.2584426802767655e-05,6.213465769223247e-07,2.3845104119950764e-08
F0,S7,9.725383848925753e-06,6.063730938439661e-07,2.2808963132999963e-08
F0,S8,9.571881095699167e-06,6.056984487033546e-07,2.302492087569566e-08
F0,S9,8.547082733994546e-06,5.982957426325768e-07,2.268861193393021e-08
F0,S10,2.1556983607549236e-05,6.972927032636404e-07,2.558324561015277e-08
F0,S11,1.0666073575969352e-05,5.995468194247835e-07,2.302894915407417e-08
F0,S12,1.3024561428494126e-05,5.922156723968119e-07,2.2921498368838962e-08
F0,S13,1.252231932635701e-05,5.677162053938913e-07,2.1976749782886297e-08
F0,S14,9.907330606471009e-06,6.250544373140229e-07,2.3062991968651347e-08
F0,S15,2.603698507070683e-05,6.151727740442513e-07,2.673711644138349e-08
F0,S16,1.2829909660860949e-05,5.906622197400431e-07,2.4632782746879963e-08
F0,S17,9.053020532962384e-06,6.154736333287404e-07,2.298678579253977e-08
F0,S18,1.3777834678257702e-05,6.086172647343088e-07,2.377084837231828e-08
F0,S19,1.7647470566808944e-05,9.523480701319256e-07,4.674146734032767e-08
F0,S20,2.4716153185708813e-05,6.88120414046739e-07,2.571933610189919e-08
F0,S21,9.508203291867057e-06,6.343318879901184e-07,2.2910637198575915e-08
F0,S22,1.0314111690077935e-05,6.379421368552442e-07,2.4055919515630107e-08
F0,S23,2.3088514588259133e-05,8.130442880579289e-07,2.9874058242478764e-08
F0,S24,1.0982775222940526e-05,5.954900518463985e-07,2.3078846531773768e-08
F0,S25,2.6158426256264544e-05,8.957348483849651e-07,3.07350087273961e-08
F0,S26,2.290934038542734e-05,6.62429275187774e-07,2.7530735772742336e-08
F0,S27,9.40851177420816e-06,6.507080786564308e-07,2.3604290817855445e-08
F0,S28,8.540792337612125e-06,5.930642612947751e-07,2.3051182234809128e-08
F0,S29,1.1880484041649474e-05,6.1656357970931e-07,2.3143569612131984e-08
F0,S30,9.833768821216555e-06,5.790380113088029e-07,2.2230581304399482e-08
F0,S31,2.1199476291734878e-05,8.51951303678403e-07,2.9190594338486104e-08
F0,S32,2.2362036536853892e-05,5.551202759353321e-07,2.1842688032931998e-08
F0,S33,8.555527988655908e-06,7.04928416991336e-07,2.5267229402020217e-08
F0,S34,9.575729390471428e-06,6.377248680097139e-07,2.3191604784639865e-08
F0,S35,2.072804744615552e-05,6.86122540629685e-07,2.9738377369935812e-08
F0,S36,1.36156764072158e-05,6.207586566850825e-07,2.3604037656487e-08
F0,S37,1.0425889472371795e-05,5.833788122998121e-07,2.295404800333211e-08
F0,S38,8.615234592254983e-06,6.20812542813076e-07,2.3360683646986623e-08
F0,S39,1.5822672028260465e-05,8.373820281756635e-07,2.667254692243183e-08
F0,S40,1.192326802926534e-05,6.070650492470101e-07,2.275825122291285e-08
F0,S41,1.0904382954868343e-05,6.506729789885155e-07,2.3203622082199494e-08
F0,S42,1.6647990879089434e-05,5.814661184544219e-07,2.2236626484131533e-08
F0,S43,1.6078367955210115e-05,6.566140235376007e-07,2.4590272276656298e-08
F0,S44,19.211552293569273,0.7003613589595417,11.30023478012797
F0,S45,2.2032103058089398e-05,6.648559497017118e-07,2.8236339061809534e-08
F0,S46,2.524794649102678e-05,9.541125805576154,1.0004880277331232e-07
F0,S47,1.9568150429516282e-05,6.502033368267017e-07,2.624682733616371e-08
F0,S48,8.666459611934708e-06,6.04019231912149e-07,2.258085225369455e-08
F0,S49,1.3988799491756063e-05,5.848917795655667e-07,2.2033236278972173e-08
F0,S50,8.705184832333618e-06,6.121834220623515e-07,2.383424916065456e-08
F0,S51,1.0470117620335727e-05,5.946313463186567e-07,2.2777301462773347e-08
F0,S52,0.00011401877710214731,1.016935467271987e-06,4.181803355286083e-08
F0,S53,1.084476333565118e-05,5.967425637121597e-07,2.2951481930880334e-08
F0,S54,2.0963336370439348e-05,6.581896269884529e-07,2.6170916819970688e-08
F0,S55,2.0726108492433846e-05,6.349892909467353e-07,2.5260928740667285e-08
F0,S56,1.814390222704605e-05,7.020619266295593e-07,2.6484865171351786e-08
F0,S57,1.2207401808876133e-05,5.923804995394312e-07,2.2429468115597083e-08
F0,S58,1.7698491554797814e-05,5.572394888091262e-07,2.170643381169213e-08
F0,S59,2.1994775298020102e-05,8.171432663795169e-07,3.486851039043707e-08
F0,S60,1.4742388338220514e-05,7.018900378688147e-07,2.454874185807632e-08
F0,S61,8.993084310109782e-06,5.90540110727353e-07,2.2347278497732148e-08
F0,S62,4.1470668436631954e-05,16.099608462315427,5.41194451143756e-07
F0,S63,2.0780661809023088e-05,5.462761323177231e-07,2.1642722701712744e-08
F0,S64,2.4449094197975103e-05,6.048831455431348e-07,2.6022047161136413e-08
F0,S65,1.1573067761056336e-05,6.142184664503889e-07,2.5008853035438332e-08
F0,S66,1.621361724545083e-05,6.55578870173413e-07,2.472066265410205e-08
F0,S67,1.9904761792360724e-05,5.575500239964189e-07,2.1724675007832375e-08
F0,S68,8.49052294227205e-06,6.235901977892089e-07,2.3255946129527675e-08
F0,S69,1.8723671113690035e-05,6.146990790794704e-07,2.750289546425531e-08
F0,S70,1.4123895183298306e-05,6.354709743139529e-07,2.2482973943585182e-08
F0,S71,1.5366687226480866e-05,6.500572135228672e-07,2.4720803504912052e-08
F0,S72,1.2191268325809226e-05,6.276338687105771e-07,2.392909178137516e-08
F0,S73,1.2389294285109884e-05,6.162529650551772e-07,2.391662693243556e-08
F0,S74,2.2059792024983027e-05,6.372371964172023e-07,2.837261243751583e-08
F0,S75,1.3466990153715054e-05,5.778365190877064e-07,2.1990060668810084e-08
F0,S76,1.5938415040118984e-05,6.812419395133752e-07,2.5953435328776445e-08
F0,S77,1.573362710621776e-05,7.071379702679923e-07,2.3227227513040676e-08
F0,S78,2.6635786277903448e-05,5.451796132461417e-07,2.1551403323292758e-08
F0,S79,7.544186317684118,7.286007116602774e-07,1.0921898455378363e-07
F0,S80,1.2386567841865085e-05,5.943690762738677e-07,2.3239597252574454e-08
F0,S81,9.349174937772737e-06,6.168019825642913e-07,2.302382938283708e-08
F0,S82,1.5268591259435028e-05,6.236965142718865e-07,2.413544626449123e-08
F0,S83,9.051817326573289e-06,5.661874874860235e-07,2.238308953870611e-08
F0,S84,8.807435511856147e-06,5.844859747214394e-07,2.2809248703915354e-08
F0,S85,1.1163926775720284e-05,6.153344005534167e-07,2.3247938179520438e-08
F0,S86,8.551330416885726e-06,6.680995175289262e-07,2.31642100255722e-08
F0,S87,8.974459481970229e-06,5.941784494416442e-07,2.283316072859986e-08
F0,S88,8.544949823427981e-06,5.955626274051397e-07,2.25212664492096e-08
F0,S89,9.009899665211163e-06,6.047678761220325e-07,2.266146337192086e-08
F0,S90,1.191503542559168e-05,6.692442668822255e-07,2.5784403728278184e-08
F0,S91,1.1343960798896213e-05,5.819290030754889e-07,2.2354124057765952e-08
F0,S92,9.781214563907833e-06,6.496837678180267e-07,2.3629376595666193e-08
F0,S93,1.0306279209729472e-05,7.010922427199246e-07,2.356388670804517e-08
F0,S94,1.3941591715717288e-05,6.87372573358309e-07,2.2503225035189734e-08
F0,S95,1.4382218944696546e-05,6.160773873244537e-07,2.6265486351466584e-08
F0,S96,9.032880014042866e-06,5.696560219540664e-07,2.215713555184948e-08
F0,S97,1.4562781139281033e-05,5.623727428469314e-07,2.1769373459630796e-08
F0,S98,8.630602599135149e-06,6.021880627159468e-07,2.3179705135777017e-08
F0,S99,2.2001817815842487e-05,6.804592733619547e-07,2.4815115911076312e-08
F0,S100,2.5869426976005875e-05,1.0488411607052695e-06,2.9708462657825238e-08
F0,S101,1.645556733165123e-05,6.476927428631657e-07,2.4555199601582454e-08
F0,S102,1.0930105900291885e-05,5.900924741023099e-07,2.259991397018021e-08
F0,S103,1.0061210229201537e-05,6.056552369217172e-07,2.3582203727421308e-08
F0,S104,1.1507415005528325e-05,7.849994117977468e-07,2.6030790279205352e-08
F0,S105,1.4271603628498962e-05,7.074506047051155e-07,2.6620870104698406e-08
F0,S106,2.1788057458233523e-05,7.787607789965274e-07,2.8626566313223277e-08
F0,S107,9.51532774169124e-06,9.251518613676441e-07,2.753918424997549e-08
F0,S108,1.406581160410174e-05,5.816060288543337e-07,2.269029889876027e-08
F0,S109,2.5722007523062535e-05,6.226687610232803e-07,2.496576000727601e-08
F0,S110,1.1090891390224448e-05,6.124375632262386e-07,2.395730826758245e-08
F0,S111,2.043582947861153e-05,9.018595255962158e-07,2.648260135017606e-08
F0,S112,9.90728599087968e-06,7.930318893668679e-07,2.5072503840057213e-08
F0,S113,1.1403726598634698e-05,6.133898656707451e-07,2.2552360717027675e-08
F0,S114,2.310601531100197e-05,6.020865922858554e-07,2.4993777762408162e-08
F0,S115,1.7963832340796313e-05,6.065277084825707e-07,2.4117659004171904e-08
F0,S116,1.945903920644358e-05,7.251824265349852e-07,2.7915539877371065e-08
F0,S117,1.8205255804959686e-05,5.604754029178707e-07,2.1969575800052325e-08
F0,S118,1.0236768301913528e-05,5.8005573326699e-07,2.25040695803541e-08
F0,S119,1.2252475203166036e-05,6.331330219029964e-07,2.3186850905788148e-08
F0,S120,1.6118608446382782e-05,6.116403209685034e-07,2.4991595072304552e-08
F0,S121,1.1694971790452713e-05,6.402965906367638e-07,2.4707394829253144e-08
