,Environment
W0,Env. 1
W1,Env. 1
W2,Env. 1
W3,Env. 1
W4,Env. 1
W5,Env. 1
W6,Env. 1
W7,Env. 1
W8,Env. 1
W9,Env. 1
W10,Env. 1
W11,Env. 1
W12,Env. 1
W13,Env. 1
W14,Env. 1
W15,Env. 1
W16,Env. 1
W17,Env. 1
W18,Env. 1
W19,Env. 1
W20,Env. 1
W21,Env. 1
W22,Env. 1
W23,Env. 1
W24,Env. 1
W25,Env. 1
W26,Env. 1
W27,Env. 1
W28,Env. 1
W29,Env. 1
W30,Env. 1
W31,Env. 1
W32,Env. 1
W33,Env. 1
W34,Env. 1
W35,Env. 1
W36,Env. 1
W37,Env. 1
W38,Env. 1
W39,Env. 1
W40,Env. 1
W41,Env. 1
W42,Env. 1
W43,Env. 1
W44,Env. 1
W45,Env. 1
W46,Env. 1
W47,Env. 1
W48,Env. 1
W49,Env. 1
W50,Env. 1
W51,Env. 1
W52,Env. 1
W53,Env. 1
W54,Env. 1
W55,Env. 1
W56,Env. 1
W57,Env. 1
W58,Env. 1
W59,Env. 1
W60,Env. 1
W61,Env. 1
W62,Env. 1
W63,Env. 1
W64,Env. 1
W65,Env. 1
W66,Env. 1
W67,Env. 1
W68,Env. 1
W69,Env. 1
W70,Env. 1
W71,Env. 1
W72,Env. 1
W73,Env. 1
W74,Env. 1
W75,Env. 1
W76,Env. 1
W77,Env. 1
W78,Env. 1
W79,Env. 1
W80,Env. 1
W81,Env. 1
W82,Env. 1
W83,Env. 1
W84,Env. 1
W85,Env. 1
W86,Env. 1
W87,Env. 1
W88,Env. 1
W89,Env. 1
W90,Env. 1
W91,Env. 1
W92,Env. 1
W93,Env. 1
W94,Env. 1
W95,Env. 1
W96,Env. 1
W97,Env. 1
W98,Env. 1
W99,Env. 1
W100,Env. 1
W101,Env. 1
W102,Env. 1
W103,Env. 1
W104,Env. 1
W105,Env. 1
W106,Env. 1
W107,Env. 1
W108,Env. 1
W109,Env. 1
W110,Env. 1
W111,Env. 1
W112,Env. 1
W113,Env. 1
W114,Env. 1
W115,Env. 1
W116,Env. 1
