,m
W0,8.892852106938967
W1,5.355750847916253
W2,5.8527730936429885
W3,0.9288069764709875
W4,4.2979399132396505
W5,2.9169421483708624
W6,2.089973146282402
W7,1.3769953578555287
W8,1.3747026613863196
W9,3.3960011833802923
W10,3.0892547042170215
W11,9.500050078644959
W12,4.014576193824171
W13,9.556453142558079
W14,7.833934410365464
W15,0.7669859265148242
W16,2.867458947426397
W17,3.901487753901322
W18,9.999434539353423
W19,2.0623012511032175
W20,1.542126774131511
W21,9.593299143601838
W22,4.103765704325271
W23,4.3695767064410385
W24,0.6687184271301875
W25,2.0070271211917916
W26,3.3946543636975908
W27,3.309420710755089
W28,2.319041404366658
W29,9.548668432284002
W30,9.476982545096071
W31,10.463804037483184
W32,0.8980164550286323
W33,2.6286941676047597
W34,7.6252684575994
W35,7.102522844021591
W36,7.784402230153002
W37,5.842326845542154
W38,9.569830787775594
W39,6.904547270467401
W40,3.135279801070153
W41,8.300539394852105
W42,1.3618968100983946
W43,2.6191601882659863
W44,2.7956906111863113
W45,5.140511516696219
W46,2.138431361890625
W47,4.715351049678915
W48,3.3669572848228944
W49,4.834546250037204
W50,4.20332394781731
W51,7.9563865803472416
W52,9.270443046617672
W53,8.742456059952953
W54,3.538110701525276
W55,1.6479678399683382
W56,4.866342933168576
W57,3.277204448678822
W58,10.001502427809084
W59,2.0252974494012714
W60,1.8168399746982793
W61,0.5467123024629378
W62,1.4550531381622673
W63,1.5789888134176617
W64,6.981725725008649
W65,8.06271667812044
W66,8.8228019906218
W67,2.726285349969619
W68,5.564716040448433
W69,8.89555534170206
W70,1.9332492483637724
W71,6.267144331668466
W72,8.11557845744927
W73,4.967756320737423
W74,2.1900605512964573
W75,2.6340800280560828
W76,7.876207790165237
W77,3.9719393146782984
W78,1.2930461441611547
W79,2.3853682152111486
W80,8.42015636753633
W81,2.334997247568464
W82,1.865344351144105
W83,8.541574624269233
W84,3.6383737106531853
W85,5.582185169080365
W86,1.2627744511261445
W87,9.523683987490317
W88,1.4076477016157467
W89,2.433809663130408
W90,6.134846192727534
W91,5.204320379827675
W92,9.230651460765726
W93,5.816857188247088
W94,5.290722856042035
W95,8.594122238652515
W96,1.1751919429359963
W97,1.987271184056977
W98,8.9649931537809
W99,1.000838540308086
W100,2.1441287360070653
W101,9.396443735507937
W102,2.88264143016184
W103,5.318290489011134
W104,2.6168492936511827
W105,10.330759545170011
W106,5.88057762440223
W107,1.3369629177904254
W108,3.7839445363575956
W109,3.306187793333107
W110,6.298110654394355
W111,3.102106777952936
W112,5.294096004857541
W113,7.916392936261374
W114,3.8073039578698475
W115,3.315075754288055
W116,7.920688588256788
W117,2.6824799808688544
W118,6.675569201054529
W119,10.325338132550888
W120,9.788476597993913
W121,9.30548367819591
W122,5.29626790725648
W123,10.314090983809766
W124,1.7825017535160277
W125,2.4817609663048708
W126,8.136211177715293
W127,8.799952523380075
W128,7.517090053610526
W129,4.588748969952892
W130,8.030978400097943
W131,9.380249772356045
W132,7.485324911355498
W133,2.903761269276193
W134,4.889454732193708
W135,0.8950303630128503
W136,5.526533221444947
W137,2.8276940926919307
W138,3.9374386936748036
W139,10.36753313998847
W140,9.332951595230023
