,m
W0,4.400697431338033
W1,1.5829022394006915
W2,1.8992797990931651
W3,4.158344593280618
W4,2.233089203446069
W5,8.817021876530957
W6,4.9705966187128725
W7,10.144248685546998
W8,6.046138385427875
W9,10.133299040298038
W10,8.24899731991121
W11,7.275444473236456
W12,6.4283766682273935
W13,1.2274163829429918
W14,1.1577356520379656
W15,3.1407841568330204
W16,9.776846354372351
W17,7.6553646231225585
W18,2.8860889966198444
W19,7.744385534138964
W20,2.482071033662207
W21,2.773804656084103
W22,0.5212863578829995
W23,4.547535653094269
W24,1.3062126308866229
W25,7.811081309173684
W26,5.331863326629098
W27,7.981115137897416
W28,0.5521570177365751
W29,2.8474158721345777
W30,2.1551229349031327
W31,10.110056257837288
W32,4.1215025129491005
W33,2.680338752743416
W34,6.0188754684700765
W35,8.293787269011304
W36,8.413704158688633
W37,7.903485727153988
W38,6.387036042965683
W39,3.64526354414569
W40,6.7426979460722425
W41,4.778919151037961
W42,5.2139590580535495
W43,7.930858231951105
W44,0.560842545317912
W45,9.149439109512091
W46,7.358833469184856
W47,10.317010030850676
W48,5.118852183402312
W49,3.9357867881789486
W50,4.138883018690692
W51,7.187495769090375
W52,2.588154685796061
W53,3.074531836233877
W54,3.0626164878267996
W55,7.186492207633697
W56,3.3181297270091363
W57,4.177478042227537
W58,3.296685455566289
W59,1.730612730573638
W60,1.4848299501171034
W61,1.4561415423415331
W62,1.1785242342650957
W63,7.783782182869038
W64,5.067282206183898
W65,8.116734738089143
W66,2.1091988836012168
W67,1.5931678873877682
W68,7.6816256642448835
W69,1.6870986197434008
W70,6.4031062318833785
W71,3.2763408665462563
W72,6.989017177354972
W73,1.2599891961281793
W74,6.623554923582567
W75,6.828836904390276
W76,1.958678638971798
W77,6.811299358324008
W78,10.30724108329012
W79,6.513259057371238
W80,0.9320853148604368
W81,3.718488971591328
W82,8.386880995323587
W83,3.3893845654384536
W84,1.087493916232953
W85,1.0725718622552378
W86,1.1346676263650688
W87,6.918607707626573
W88,4.7493091452200735
W89,4.6586627135894085
W90,6.279063605496727
W91,1.5979526112578144
W92,0.5793599743564168
W93,4.317435585418512
W94,9.155486022523753
W95,7.943813239510216
W96,7.522645194042555
W97,5.0381671960852366
W98,6.593315711726012
W99,9.951363464458431
W100,3.855812108136152
W101,1.1566879392686966
W102,7.093133918787516
W103,7.393893188808445
W104,9.33238171446261
W105,3.9360742329330085
W106,0.9905962010257329
W107,10.288079191767023
W108,3.721678484528263
W109,1.6471862480768626
W110,10.022148509456619
W111,6.14810653257853
W112,2.0909579477595432
W113,4.5532961514379195
W114,5.72018360221403
W115,3.9774919659244468
W116,4.686664358298256
W117,4.72724534683432
W118,1.3794026994520645
W119,4.092598906970295
W120,0.5065410380754352
W121,6.953356497129822
W122,1.328728683889726
W123,10.49312513728673
W124,2.8333325303809658
W125,2.64126783483281
W126,5.361426776286853
W127,3.120331176724152
W128,6.267542798199838
W129,3.7359338049879662
W130,3.725874808581388
W131,0.9079248491144296
W132,8.222621735803546
W133,1.6209008678542678
W134,0.9442549662527976
W135,3.8287670788946064
W136,5.407159826177835
W137,3.044891504663015
W138,9.086946218900863
W139,7.002995038403649
W140,1.6924491007346094
W141,6.206235368815451
W142,2.0026422188817383
W143,9.688791284859834
W144,3.1446286543703015
W145,3.780758779461377
W146,7.257795827671763
W147,7.181427042213737
W148,1.7595869451768793
W149,9.569591596866859
W150,8.788428112571621
W151,9.742701323672334
W152,4.881602478174997
W153,3.071853149073533
W154,2.571634614639736
W155,9.828031307417207
W156,2.987879729478564
W157,4.819591855045951
W158,9.673281248719832
W159,6.492188068710393
W160,3.938456502176978
W161,7.287837741364665
W162,5.042910592603127
W163,3.2822673458338065
W164,3.647030181849516
W165,2.1055515398926183
W166,7.777173555756319
W167,4.602551580221894
W168,4.110531029098995
W169,4.459811752266547
W170,2.748956255091902
W171,9.854528771536154
W172,1.9001611597554218
W173,8.805893204883366
W174,4.21237037951691
W175,8.866679162321164
W176,10.485116059970505
W177,0.6366287284786563
W178,6.263962222989777
W179,3.590167837392788
W180,3.876238077405008
W181,6.917741282238176
W182,7.520556347293807
W183,8.598490402688139
W184,5.451699614163466
W185,9.855462771218852
W186,0.9831336291205748
W187,7.190630438486479
W188,6.343515721738798
W189,8.858554770689462
W190,10.350425038260491
W191,2.974404335388813
W192,4.832617145445113
W193,6.482778606468897
W194,8.617828173574495
W195,10.173870176232617
W196,2.724318330966644
W197,3.0000609960482505
W198,2.5596863237497125
W199,0.6523036813563108
W200,6.970571619775572
W201,1.5877263456400237
W202,9.15133177873813
W203,5.371345381694299
W204,1.917143934956552
W205,8.837741707310826
W206,9.118306298794737
W207,4.5146320770152695
W208,10.458404780716812
W209,0.7198346878862181
W210,5.084956088148443
W211,0.8728056851797426
W212,7.329451916493063
W213,9.053024110727435
W214,2.3964775203370876
W215,2.7932822666748365
W216,3.8258421977791697
W217,9.371610830653202
W218,5.97620392107258
W219,7.658727350916423
W220,4.862429898306752
W221,3.34951017753062
W222,2.0403049869581382
W223,9.944478650831226
W224,4.394499782500134
W225,3.748090716237531
W226,4.375908207903384
W227,2.6179678703783127
W228,9.515862607183644
W229,5.493285088666051
W230,8.556239885286884
W231,4.399514424732124
W232,1.0925104383801254
W233,7.6415202625062495
W234,2.941426773251994
W235,8.863518538815363
W236,6.702870118744791
W237,3.7104957563951593
W238,6.715734061267972
W239,5.853051985122511
W240,1.8359129303069988
W241,3.567937466230636
W242,3.111636770755396
W243,5.517564929595134
W244,3.0811213493866934
W245,7.683308853889455
W246,9.28309797026308
W247,9.89381536116259
W248,7.2647213851692785
W249,9.253981694590736
W250,5.447159434229604
W251,5.382607635833424
W252,1.6720100782233638
W253,3.9399551766201384
W254,1.954566594146497
W255,6.6446384162845575
W256,9.605825248061953
W257,9.557263540380287
W258,2.8016790515567056
W259,8.894365172834998
W260,2.9433013512359048
W261,3.3700432807147367
W262,3.3996425275098905
W263,7.939622153323753
W264,6.688544236173478
W265,9.23480413413724
W266,4.706725729611699
W267,6.451455623052237
W268,5.2358094765449765
W269,3.3513340517632755
W270,7.319709408588502
W271,9.043268437714412
W272,4.166821136549443
W273,4.820667222295401
W274,1.489465481539732
W275,3.1008441335697827
W276,3.5603682048764016
W277,6.025094567140377
W278,5.400601222858157
W279,2.471779172352774
W280,4.73508560255605
W281,9.611426179964502
W282,6.007059199868336
W283,1.8841454487114924
W284,6.869661998350217
W285,4.021135811330051
W286,3.6928350775267775
W287,7.229153410927613
W288,3.807326318530796
W289,8.835577312809498
W290,8.004441854705401
W291,8.940230825546289
W292,7.504146474009628
W293,1.829896590201504
W294,9.1390765381081
W295,8.267400917283236
W296,6.409210805656048
W297,0.7578123296176729
W298,8.718840129640306
W299,4.179530322878194
