,m
W0,0.4998607413125377
W1,0.4998607413125377
W2,0.4998607413125377
W3,0.4998607413125377
W4,0.4998607413125377
W5,0.4998607413125377
W6,0.4998607413125377
W7,0.4998607413125377
W8,0.4998607413125377
W9,0.4998607413125377
W10,0.4998607413125377
W11,0.4998607413125377
W12,0.4998607413125377
W13,0.4998607413125377
W14,0.4998607413125377
W15,0.4998607413125377
W16,0.4998607413125377
W17,0.4998607413125377
W18,0.4998607413125377
W19,0.4998607413125377
W20,0.4998607413125377
W21,0.4998607413125377
W22,0.4998607413125377
W23,0.4998607413125377
W24,0.4998607413125377
W25,0.4998607413125377
W26,0.4998607413125377
W27,0.4998607413125377
W28,0.4998607413125377
W29,0.4998607413125377
W30,0.4998607413125377
W31,0.4998607413125377
W32,0.4998607413125377
W33,0.4998607413125377
W34,0.4998607413125377
W35,0.4998607413125377
W36,0.4998607413125377
W37,0.4998607413125377
W38,0.4998607413125377
W39,0.4998607413125377
W40,0.4998607413125377
W41,0.4998607413125377
W42,0.4998607413125377
W43,0.4998607413125377
W44,0.4998607413125377
W45,0.4998607413125377
W46,0.4998607413125377
W47,0.4998607413125377
W48,0.4998607413125377
W49,0.4998607413125377
W50,0.4998607413125377
W51,0.4998607413125377
W52,0.4998607413125377
W53,0.4998607413125377
W54,0.4998607413125377
W55,0.4998607413125377
W56,0.4998607413125377
W57,0.4998607413125377
W58,0.4998607413125377
W59,0.4998607413125377
W60,0.4998607413125377
W61,0.4998607413125377
W62,0.4998607413125377
W63,0.4998607413125377
W64,0.4998607413125377
W65,0.4998607413125377
W66,0.4998607413125377
W67,0.4998607413125377
W68,0.4998607413125377
W69,0.4998607413125377
W70,0.4998607413125377
W71,0.4998607413125377
W72,0.4998607413125377
W73,0.4998607413125377
W74,0.4998607413125377
W75,0.4998607413125377
W76,0.4998607413125377
W77,0.4998607413125377
W78,0.4998607413125377
W79,0.4998607413125377
W80,0.4998607413125377
W81,0.4998607413125377
W82,0.4998607413125377
W83,0.4998607413125377
W84,0.4998607413125377
W85,0.4998607413125377
W86,0.4998607413125377
W87,0.4998607413125377
W88,0.4998607413125377
W89,0.4998607413125377
W90,0.4998607413125377
W91,0.4998607413125377
W92,0.4998607413125377
W93,0.4998607413125377
W94,0.4998607413125377
W95,0.4998607413125377
W96,0.4998607413125377
W97,0.4998607413125377
W98,0.4998607413125377
W99,0.4998607413125377
W100,0.4998607413125377
W101,0.4998607413125377
W102,0.4998607413125377
W103,0.4998607413125377
W104,0.4998607413125377
W105,0.4998607413125377
W106,0.4998607413125377
W107,0.4998607413125377
W108,0.4998607413125377
W109,0.4998607413125377
W110,0.4998607413125377
W111,0.4998607413125377
W112,0.4998607413125377
W113,0.4998607413125377
W114,0.4998607413125377
W115,0.4998607413125377
W116,0.4998607413125377
W117,0.4998607413125377
W118,0.4998607413125377
W119,0.4998607413125377
W120,0.4998607413125377
W121,0.4998607413125377
W122,0.4998607413125377
W123,0.4998607413125377
W124,0.4998607413125377
W125,0.4998607413125377
W126,0.4998607413125377
W127,0.4998607413125377
W128,0.4998607413125377
W129,0.4998607413125377
W130,0.4998607413125377
W131,0.4998607413125377
W132,0.4998607413125377
W133,0.4998607413125377
W134,0.4998607413125377
W135,0.4998607413125377
W136,0.4998607413125377
W137,0.4998607413125377
W138,0.4998607413125377
W139,0.4998607413125377
W140,0.4998607413125377
W141,0.4998607413125377
W142,0.4998607413125377
W143,0.4998607413125377
W144,0.4998607413125377
W145,0.4998607413125377
W146,0.4998607413125377
W147,0.4998607413125377
W148,0.4998607413125377
W149,0.4998607413125377
W150,0.4998607413125377
W151,0.4998607413125377
W152,0.4998607413125377
W153,0.4998607413125377
W154,0.4998607413125377
W155,0.4998607413125377
