,m
W0,6.750729548641157
W1,2.5522716832397023
W2,10.315711157785389
W3,3.7904741040426417
W4,6.06983734415916
W5,9.19664219898297
W6,10.030213192250379
W7,3.9815736600985536
W8,8.001303530505291
W9,10.250795958352647
W10,10.085916948281243
W11,2.4302033771904115
W12,3.782762224644473
W13,1.8596075168245376
W14,3.7392879000182933
W15,8.51370606646158
W16,5.565039003177437
W17,6.2398826728276084
W18,7.681134787238087
W19,3.4281941727535847
W20,7.252451649707958
W21,10.402838602139623
W22,2.5291550013826547
W23,7.881673488328284
W24,7.0140786693466985
W25,8.877073190952936
W26,9.04447668784225
W27,7.052193701972215
W28,1.3391779014806298
W29,1.6128300330687069
W30,7.916421041411331
W31,8.045718666152732
W32,1.6949059988806374
W33,3.0613604304466535
W34,3.4490754213364174
W35,2.8124580770606995
W36,8.672715156126161
W37,4.6648966962999845
W38,9.160016765539106
W39,3.079119636725771
W40,8.200214771863044
W41,4.034565947998186
W42,10.329251134549965
W43,3.132322958781768
W44,5.327887263806234
W45,7.954948169482398
W46,0.9811734554826005
W47,8.913177732008661
W48,8.746251914649676
W49,9.850482309234836
W50,6.7827617905542334
W51,1.4473528786647607
W52,1.506506685756666
W53,4.359095910362421
W54,9.561655059695935
W55,3.817543314184855
W56,9.067032703621571
W57,4.676011373601005
W58,5.6681566261326966
W59,5.63908980676211
W60,1.2076358541223449
W61,3.2421845883951037
W62,1.6863295528881521
W63,3.6041906458808675
W64,2.861186860640953
W65,5.927386644966191
W66,1.6568367734745846
W67,1.4147128391209867
W68,3.626549179079301
W69,4.891807125526851
W70,8.113815448116002
W71,7.560067724612438
W72,1.953936966089929
W73,6.951068850753379
W74,6.788526134175084
W75,9.929136287779798
W76,9.803589614925196
W77,4.425167810959874
W78,4.228638523259302
W79,10.357974177281674
W80,2.4946488227949932
W81,4.011632132416051
W82,2.099320396900219
W83,5.861394259856698
W84,6.338980276739027
W85,5.5379588192120295
W86,5.976227298983594
W87,8.789714545170627
W88,5.4113034757992375
W89,5.848838562182727
W90,9.42075925607201
W91,9.663048391194023
W92,1.3117394576383128
W93,0.7942011213275751
W94,9.181452826826018
W95,4.468746791323445
W96,1.2357215832722372
W97,4.952989842767714
W98,6.157405852345316
W99,3.0263649096415217
W100,8.646248589896823
W101,9.598735396506994
W102,2.423070093171243
W103,9.109988790244397
W104,1.4485326488490264
W105,2.277783263793905
W106,6.626558700030088
W107,8.686370199155512
W108,6.980046975634057
W109,1.4512911544563705
W110,1.4149750831564993
W111,9.222305577235833
W112,0.7855187798101775
W113,7.223220645645277
W114,1.90692216960822
W115,6.345336240600548
W116,4.282471465779715
W117,6.121424698601219
W118,7.905774983430797
W119,3.9740772211924322
W120,2.1822482131974055
W121,5.33728622322746
W122,5.614958681732474
W123,1.487123689600473
W124,5.599280699941577
W125,7.056295797070155
W126,4.539407554292372
W127,7.9285026788922535
W128,0.9410519576148761
W129,4.787884566958926
W130,7.473570387065146
W131,9.13240187676651
W132,2.9055243233734234
W133,2.7973894070404066
W134,6.448748214844284
W135,8.553470176267064
W136,7.313189572314538
W137,7.378114273897783
W138,9.362501853816697
W139,2.4197532323709665
W140,6.5234251130106875
W141,3.820666355041803
W142,9.20943989534298
W143,6.7293322760881775
W144,6.29762408608478
W145,3.6904537263961257
W146,2.7548381804846005
W147,1.7579182390614263
W148,4.372175928100564
W149,5.14400791201494
W150,8.617813798054547
W151,5.685739133332105
W152,9.37430213086192
W153,5.400716645871617
W154,5.986641244252204
W155,8.131438000618532
W156,5.823660047904825
W157,5.478285070050383
W158,5.17241533137223
W159,8.131959596248334
W160,8.091591489704491
W161,9.270360884537059
W162,2.4956902614269936
W163,9.691690848461299
W164,7.944864165728975
W165,6.949558999481192
W166,8.372233496035427
W167,9.41858991266914
W168,6.742804994071359
W169,6.316882684957922
W170,10.131093667665498
W171,6.000532561715251
W172,1.3489623811827471
W173,5.5481244147825794
W174,5.774058842251251
W175,6.136120852935349
W176,2.778761523937788
W177,3.782759949027572
W178,7.744258431773256
W179,7.869463027783488
W180,7.708316930175256
W181,8.598882992674426
W182,0.9941076889338301
W183,4.403898011993823
W184,8.228591840333461
W185,9.319357775213863
W186,1.360423189556284
W187,1.3246883367336186
W188,5.983011775050596
W189,5.7853803443722045
W190,7.636689582663158
W191,4.984057956098259
W192,3.052472468604861
W193,7.002180337739282
W194,7.614673406369245
W195,9.546892904930443
W196,8.25780736425401
W197,7.909739661335214
W198,6.837459060817904
W199,0.9353646908646122
W200,7.994436075454402
W201,1.6195443934626723
W202,1.510501290921538
W203,4.292035490711624
W204,4.865486311703713
W205,8.709548779884255
W206,9.159177619408483
W207,6.33081675965309
W208,10.144886796139406
W209,2.448491068255429
W210,7.361861473244281
W211,6.487707517653022
W212,5.020869959191673
W213,3.506455285003302
W214,2.1924006248210732
W215,5.169549347685647
W216,4.677562582044114
W217,7.580581135275691
W218,7.528654054880941
W219,5.167619530174943
W220,4.990687491433684
W221,2.3853228589646918
W222,4.442403657193157
W223,0.741262281816583
W224,4.118110628682656
W225,10.388926506361939
W226,5.734651969584762
W227,3.6622005977099117
W228,6.851614970797775
W229,2.268343801576926
W230,2.078961480120355
W231,4.960186305925884
W232,5.263682233510279
W233,4.587832884426386
W234,1.5274261832059046
W235,1.1949993196997482
W236,5.34704160442121
W237,10.263886638684559
W238,7.610654603016593
W239,4.409368765065335
W240,5.280586339333079
W241,6.501339507609723
W242,2.5660529206566025
W243,9.526467153192446
W244,5.0481365586248925
W245,8.736801330407081
W246,7.760353765095458
W247,3.944429809442575
W248,5.417718602933183
W249,3.524989847140359
W250,5.821786574725502
W251,7.801711089676385
W252,10.065266030817973
W253,5.192596774991202
W254,8.260671359994602
W255,7.881800422456753
W256,1.7580010326866071
W257,3.222435139922877
W258,7.778498975901026
W259,7.475251308963959
W260,8.417559696597667
W261,3.318343499464393
W262,2.9360300450430055
W263,10.469801009206103
W264,8.674977855886086
W265,4.384577526972896
W266,1.2184649270490848
W267,2.039159752438654
W268,4.771556631364404
W269,5.485683782276339
W270,10.425362605630367
W271,6.73580924885293
W272,3.8875790832674033
W273,5.942728050920913
W274,2.3928211810559588
W275,10.005192679044862
W276,9.808140329355691
W277,1.7961289757890988
W278,3.674941872738845
W279,1.9163580774821558
W280,6.308066935546668
W281,8.807846101880223
W282,6.317822695757441
W283,5.876645596869195
W284,3.699594028494657
W285,7.721750823372458
W286,5.421927657928619
W287,10.484021360315154
W288,7.947359863302942
W289,9.804564443729692
W290,10.279580978761379
W291,5.903445601604687
W292,3.1316484791446517
W293,1.3604209493372603
W294,7.692684180929953
W295,5.312680501040895
W296,1.1749631847725688
W297,4.774106497970186
W298,1.0208737650395274
W299,3.5706745425688093
