,m
W0,10.145142925308317
W1,8.04210223738747
W2,6.847835790996417
W3,3.70331340435002
W4,8.65401477719492
W5,8.155813871915548
W6,10.444244125568854
W7,4.435470785422946
W8,3.433528265035443
W9,2.5867839694119854
W10,5.757543305023004
W11,8.105469489024491
W12,1.1578529424041037
W13,1.9664973050199674
W14,3.5830138539592005
W15,3.90624279838961
W16,4.183801832998981
W17,3.677421076332007
W18,7.6901641681056745
W19,10.315114072017241
W20,1.0105068614193657
W21,9.333132321303943
W22,1.488874420186983
W23,7.909476875717474
W24,7.4844424763750546
W25,6.16380440949058
W26,5.843724580894906
W27,7.504254507439455
W28,2.470904399036311
W29,1.9777064636271613
W30,8.014452090628785
W31,5.151405169306703
W32,9.781847947732762
W33,1.8801538564475417
W34,2.193089032452938
W35,2.354537133611432
W36,3.5311405083678995
W37,2.6156765367323587
W38,10.351413593343223
W39,8.12549552760805
W40,6.369960651869789
W41,7.024079703291621
W42,10.104750262203058
W43,8.162312828789497
W44,2.432917651585752
W45,3.9799370612533695
W46,1.3371192540685042
W47,4.5407656594522265
W48,9.989644606599063
W49,10.050071402361494
W50,2.9427321858147315
W51,3.242880278149025
W52,1.053777058470653
W53,5.222478624613414
W54,4.874406048253092
W55,5.3759369523442615
W56,2.7119865748184107
W57,6.396650077037415
W58,5.318913333605239
W59,0.8807202101580992
W60,1.404284041053937
W61,9.397339679496751
W62,8.91847545505022
W63,4.1574031493287915
W64,8.010948718732665
W65,5.367337268421863
W66,6.278012579972342
W67,1.0227397335766222
W68,3.545236062811893
W69,0.713533599623557
W70,3.895138028195236
W71,2.4184396566322106
W72,7.436755794839281
W73,0.6726785278060687
W74,6.465255986485754
W75,6.1186827964826715
W76,6.348965161137433
W77,10.132550666118785
W78,10.291656161716146
W79,5.037359930361726
W80,3.8691556611566034
W81,3.063487253086781
W82,8.31351053558635
W83,4.07403350100189
W84,0.801821385286452
W85,2.8646380728986274
W86,5.983945458881767
W87,4.589341800408716
W88,3.424619498744062
W89,0.6325287969526316
W90,5.867354292531885
W91,8.753352432195038
W92,7.121268477420555
W93,3.0944535286286534
W94,8.350367498228923
W95,5.918194605411809
W96,2.1265568035569107
W97,5.4927062252061045
W98,7.15790648212881
W99,8.931154664124993
W100,7.788918454152403
W101,3.2519516175158163
W102,5.700651528851452
