,m
W0,0.4992987053065596
W1,0.4992987053065596
W2,0.4992987053065596
W3,0.4992987053065596
W4,0.4992987053065596
W5,0.4992987053065596
W6,0.4992987053065596
W7,0.4992987053065596
W8,0.4992987053065596
W9,0.4992987053065596
W10,0.4992987053065596
W11,0.4992987053065596
W12,0.4992987053065596
W13,0.4992987053065596
W14,0.4992987053065596
W15,0.4992987053065596
W16,0.4992987053065596
W17,0.4992987053065596
W18,0.4992987053065596
W19,0.4992987053065596
W20,0.4992987053065596
W21,0.4992987053065596
W22,0.4992987053065596
W23,0.4992987053065596
W24,0.4992987053065596
W25,0.4992987053065596
W26,0.4992987053065596
W27,0.4992987053065596
W28,0.4992987053065596
W29,0.4992987053065596
W30,0.4992987053065596
W31,0.4992987053065596
W32,0.4992987053065596
W33,0.4992987053065596
W34,0.4992987053065596
W35,0.4992987053065596
W36,0.4992987053065596
W37,0.4992987053065596
W38,0.4992987053065596
W39,0.4992987053065596
W40,0.4992987053065596
W41,0.4992987053065596
W42,0.4992987053065596
W43,0.4992987053065596
W44,0.4992987053065596
W45,0.4992987053065596
W46,0.4992987053065596
W47,0.4992987053065596
W48,0.4992987053065596
W49,0.4992987053065596
W50,0.4992987053065596
W51,0.4992987053065596
W52,0.4992987053065596
W53,0.4992987053065596
W54,0.4992987053065596
W55,0.4992987053065596
W56,0.4992987053065596
W57,0.4992987053065596
W58,0.4992987053065596
W59,0.4992987053065596
W60,0.4992987053065596
W61,0.4992987053065596
W62,0.4992987053065596
W63,0.4992987053065596
W64,0.4992987053065596
W65,0.4992987053065596
W66,0.4992987053065596
W67,0.4992987053065596
W68,0.4992987053065596
W69,0.4992987053065596
W70,0.4992987053065596
W71,0.4992987053065596
W72,0.4992987053065596
W73,0.4992987053065596
W74,0.4992987053065596
W75,0.4992987053065596
W76,0.4992987053065596
W77,0.4992987053065596
W78,0.4992987053065596
W79,0.4992987053065596
W80,0.4992987053065596
W81,0.4992987053065596
W82,0.4992987053065596
W83,0.4992987053065596
W84,0.4992987053065596
W85,0.4992987053065596
W86,0.4992987053065596
W87,0.4992987053065596
W88,0.4992987053065596
W89,0.4992987053065596
W90,0.4992987053065596
W91,0.4992987053065596
W92,0.4992987053065596
W93,0.4992987053065596
