,m
W0,0.5003359253876588
W1,0.5003359253876588
W2,0.5003359253876588
W3,0.5003359253876588
W4,0.5003359253876588
W5,0.5003359253876588
W6,0.5003359253876588
W7,0.5003359253876588
W8,0.5003359253876588
W9,0.5003359253876588
W10,0.5003359253876588
W11,0.5003359253876588
W12,0.5003359253876588
W13,0.5003359253876588
W14,0.5003359253876588
W15,0.5003359253876588
W16,0.5003359253876588
W17,0.5003359253876588
W18,0.5003359253876588
W19,0.5003359253876588
W20,0.5003359253876588
W21,0.5003359253876588
W22,0.5003359253876588
W23,0.5003359253876588
W24,0.5003359253876588
W25,0.5003359253876588
W26,0.5003359253876588
W27,0.5003359253876588
W28,0.5003359253876588
W29,0.5003359253876588
W30,0.5003359253876588
W31,0.5003359253876588
W32,0.5003359253876588
W33,0.5003359253876588
W34,0.5003359253876588
W35,0.5003359253876588
W36,0.5003359253876588
W37,0.5003359253876588
W38,0.5003359253876588
W39,0.5003359253876588
W40,0.5003359253876588
W41,0.5003359253876588
W42,0.5003359253876588
W43,0.5003359253876588
W44,0.5003359253876588
W45,0.5003359253876588
W46,0.5003359253876588
W47,0.5003359253876588
W48,0.5003359253876588
W49,0.5003359253876588
W50,0.5003359253876588
W51,0.5003359253876588
W52,0.5003359253876588
W53,0.5003359253876588
W54,0.5003359253876588
W55,0.5003359253876588
W56,0.5003359253876588
W57,0.5003359253876588
W58,0.5003359253876588
W59,0.5003359253876588
W60,0.5003359253876588
W61,0.5003359253876588
W62,0.5003359253876588
W63,0.5003359253876588
W64,0.5003359253876588
W65,0.5003359253876588
W66,0.5003359253876588
W67,0.5003359253876588
W68,0.5003359253876588
W69,0.5003359253876588
W70,0.5003359253876588
W71,0.5003359253876588
W72,0.5003359253876588
W73,0.5003359253876588
W74,0.5003359253876588
W75,0.5003359253876588
W76,0.5003359253876588
W77,0.5003359253876588
W78,0.5003359253876588
W79,0.5003359253876588
W80,0.5003359253876588
W81,0.5003359253876588
W82,0.5003359253876588
W83,0.5003359253876588
W84,0.5003359253876588
W85,0.5003359253876588
W86,0.5003359253876588
W87,0.5003359253876588
W88,0.5003359253876588
W89,0.5003359253876588
W90,0.5003359253876588
W91,0.5003359253876588
W92,0.5003359253876588
W93,0.5003359253876588
W94,0.5003359253876588
W95,0.5003359253876588
W96,0.5003359253876588
W97,0.5003359253876588
W98,0.5003359253876588
W99,0.5003359253876588
W100,0.5003359253876588
W101,0.5003359253876588
W102,0.5003359253876588
W103,0.5003359253876588
W104,0.5003359253876588
W105,0.5003359253876588
W106,0.5003359253876588
W107,0.5003359253876588
W108,0.5003359253876588
W109,0.5003359253876588
W110,0.5003359253876588
W111,0.5003359253876588
W112,0.5003359253876588
W113,0.5003359253876588
W114,0.5003359253876588
W115,0.5003359253876588
W116,0.5003359253876588
W117,0.5003359253876588
W118,0.5003359253876588
W119,0.5003359253876588
W120,0.5003359253876588
W121,0.5003359253876588
W122,0.5003359253876588
W123,0.5003359253876588
W124,0.5003359253876588
W125,0.5003359253876588
W126,0.5003359253876588
W127,0.5003359253876588
W128,0.5003359253876588
W129,0.5003359253876588
W130,0.5003359253876588
W131,0.5003359253876588
W132,0.5003359253876588
W133,0.5003359253876588
W134,0.5003359253876588
W135,0.5003359253876588
W136,0.5003359253876588
W137,0.5003359253876588
W138,0.5003359253876588
W139,0.5003359253876588
W140,0.5003359253876588
W141,0.5003359253876588
W142,0.5003359253876588
W143,0.5003359253876588
W144,0.5003359253876588
W145,0.5003359253876588
W146,0.5003359253876588
W147,0.5003359253876588
W148,0.5003359253876588
W149,0.5003359253876588
W150,0.5003359253876588
W151,0.5003359253876588
W152,0.5003359253876588
W153,0.5003359253876588
W154,0.5003359253876588
W155,0.5003359253876588
W156,0.5003359253876588
W157,0.5003359253876588
W158,0.5003359253876588
W159,0.5003359253876588
W160,0.5003359253876588
W161,0.5003359253876588
W162,0.5003359253876588
W163,0.5003359253876588
W164,0.5003359253876588
W165,0.5003359253876588
W166,0.5003359253876588
W167,0.5003359253876588
W168,0.5003359253876588
W169,0.5003359253876588
W170,0.5003359253876588
W171,0.5003359253876588
W172,0.5003359253876588
W173,0.5003359253876588
W174,0.5003359253876588
W175,0.5003359253876588
W176,0.5003359253876588
W177,0.5003359253876588
W178,0.5003359253876588
W179,0.5003359253876588
W180,0.5003359253876588
W181,0.5003359253876588
W182,0.5003359253876588
W183,0.5003359253876588
W184,0.5003359253876588
W185,0.5003359253876588
W186,0.5003359253876588
W187,0.5003359253876588
W188,0.5003359253876588
W189,0.5003359253876588
W190,0.5003359253876588
W191,0.5003359253876588
W192,0.5003359253876588
W193,0.5003359253876588
W194,0.5003359253876588
W195,0.5003359253876588
W196,0.5003359253876588
W197,0.5003359253876588
W198,0.5003359253876588
W199,0.5003359253876588
W200,0.5003359253876588
W201,0.5003359253876588
W202,0.5003359253876588
W203,0.5003359253876588
W204,0.5003359253876588
W205,0.5003359253876588
W206,0.5003359253876588
W207,0.5003359253876588
W208,0.5003359253876588
W209,0.5003359253876588
W210,0.5003359253876588
W211,0.5003359253876588
W212,0.5003359253876588
W213,0.5003359253876588
W214,0.5003359253876588
W215,0.5003359253876588
W216,0.5003359253876588
W217,0.5003359253876588
W218,0.5003359253876588
W219,0.5003359253876588
W220,0.5003359253876588
W221,0.5003359253876588
W222,0.5003359253876588
W223,0.5003359253876588
W224,0.5003359253876588
W225,0.5003359253876588
W226,0.5003359253876588
W227,0.5003359253876588
W228,0.5003359253876588
W229,0.5003359253876588
W230,0.5003359253876588
W231,0.5003359253876588
W232,0.5003359253876588
W233,0.5003359253876588
W234,0.5003359253876588
W235,0.5003359253876588
W236,0.5003359253876588
W237,0.5003359253876588
W238,0.5003359253876588
W239,0.5003359253876588
W240,0.5003359253876588
W241,0.5003359253876588
W242,0.5003359253876588
W243,0.5003359253876588
W244,0.5003359253876588
W245,0.5003359253876588
W246,0.5003359253876588
W247,0.5003359253876588
W248,0.5003359253876588
W249,0.5003359253876588
W250,0.5003359253876588
W251,0.5003359253876588
W252,0.5003359253876588
W253,0.5003359253876588
W254,0.5003359253876588
W255,0.5003359253876588
W256,0.5003359253876588
W257,0.5003359253876588
W258,0.5003359253876588
W259,0.5003359253876588
W260,0.5003359253876588
W261,0.5003359253876588
W262,0.5003359253876588
W263,0.5003359253876588
W264,0.5003359253876588
W265,0.5003359253876588
W266,0.5003359253876588
W267,0.5003359253876588
W268,0.5003359253876588
W269,0.5003359253876588
W270,0.5003359253876588
W271,0.5003359253876588
W272,0.5003359253876588
W273,0.5003359253876588
W274,0.5003359253876588
W275,0.5003359253876588
W276,0.5003359253876588
W277,0.5003359253876588
W278,0.5003359253876588
W279,0.5003359253876588
W280,0.5003359253876588
W281,0.5003359253876588
W282,0.5003359253876588
W283,0.5003359253876588
W284,0.5003359253876588
W285,0.5003359253876588
W286,0.5003359253876588
W287,0.5003359253876588
W288,0.5003359253876588
W289,0.5003359253876588
W290,0.5003359253876588
W291,0.5003359253876588
W292,0.5003359253876588
W293,0.5003359253876588
W294,0.5003359253876588
W295,0.5003359253876588
W296,0.5003359253876588
W297,0.5003359253876588
W298,0.5003359253876588
W299,0.5003359253876588
