,Environment,alpha
W0,Site 1,0.510296736442175
W1,Site 1,0.5432337936748383
W2,Site 1,0.5911112376153611
W3,Site 1,0.43193633503289575
W4,Site 1,0.13428528588172406
W5,Site 1,0.34489101960895074
W6,Site 1,0.06350046159126442
W7,Site 1,0.6510829461258354
W8,Site 1,0.7099842305509865
W9,Site 1,0.29521703770271923
W10,Site 1,0.37051618214029536
W11,Site 1,0.3829583035711397
W12,Site 1,0.34159578282925096
W13,Site 1,0.8646096006025624
W14,Site 1,0.6102740255654365
W15,Site 1,0.4267447013420771
W16,Site 1,0.2967214640044562
W17,Site 1,0.812120670217948
W18,Site 1,0.5056314799860375
W19,Site 1,0.4301318337018435
W20,Site 1,0.5307743761552949
W21,Site 1,0.451444901942952
W22,Site 1,0.29130339494920165
W23,Site 1,0.3160663218592804
W24,Site 1,0.8416981010434107
W25,Site 1,0.8831508651826355
W26,Site 1,0.6918589334584344
W27,Site 1,0.12328823754103613
W28,Site 1,0.030925485435405964
W29,Site 1,0.8652195780435259
W30,Site 1,0.3075109308140349
W31,Site 1,0.9129198857941556
W32,Site 1,0.4275555288816239
W33,Site 1,0.8914443285633775
W34,Site 1,0.5895369055707101
W35,Site 1,0.6146861257939231
W36,Site 1,0.4017999262262241
W37,Site 1,0.028325987302588732
W38,Site 1,0.19239123245568834
W39,Site 1,0.2716654751374281
W40,Site 1,0.6736268889520759
W41,Site 1,0.3994772242828817
W42,Site 1,0.5047643342948661
W43,Site 1,0.0618685327755113
W44,Site 1,0.029112125274639026
W45,Site 1,0.7410389837127023
W46,Site 1,0.4276495699917213
W47,Site 1,0.11863636686473923
W48,Site 1,0.5084739811335791
W49,Site 1,0.7799077234419799
W50,Site 1,0.15516899953933805
W51,Site 1,0.4465816938538547
W52,Site 1,0.8882589104602683
W53,Site 1,0.2059769344617033
W54,Site 1,0.6708549683992061
W55,Site 1,0.7460209217040561
W56,Site 1,0.8970499820702783
W57,Site 1,0.7448854175131702
W58,Site 1,0.2578647860827792
W59,Site 1,0.6098745005423838
W60,Site 1,0.6012090629398463
W61,Site 1,0.7055495560986283
W62,Site 1,0.34123690862267897
W63,Site 1,0.4899676857097426
W64,Site 1,0.3217847640688736
W65,Site 1,0.6011322687836658
W66,Site 1,0.0608387244280435
W67,Site 1,0.7134622645107899
W68,Site 1,0.06350268054203956
W69,Site 1,0.6647430640262872
W70,Site 1,0.6152262124342606
W71,Site 1,0.7958628638534688
W72,Site 1,0.11184608385811168
W73,Site 1,0.5246057213249151
W74,Site 1,0.8943448177720122
W75,Site 1,0.02607558290398948
W76,Site 1,0.6641197538715864
W77,Site 1,0.7706755116145931
W78,Site 1,0.4193244885149043
