,m
W0,7.288004625364067
W1,3.787163447055127
W2,3.6857233919787653
W3,2.6784101942040204
W4,5.664519826198782
W5,1.9002475895200637
W6,3.2038118063397603
W7,5.944409374786758
W8,1.1054396712316723
W9,8.837020059874254
W10,1.9911430563540322
W11,9.28173231128609
W12,8.211422965349284
W13,0.4743046402081549
W14,4.771049659173843
W15,9.774632755657983
W16,0.34295656988102075
W17,7.667029831730465
W18,1.1925058918264515
W19,2.7774052802955937
W20,4.987783421332702
W21,1.4651502197176332
W22,2.022878562993125
W23,8.473261195346886
W24,6.057026631561616
W25,1.4323259878252421
W26,7.829634635434859
W27,0.34461375553513995
W28,8.512150623527841
W29,9.612446788379595
W30,9.05089842427192
W31,7.42118445523131
W32,6.093339365508492
W33,7.259590239649045
W34,3.7802072600428125
W35,1.800272300569846
W36,3.3909127094880085
W37,4.274089767540163
W38,7.978630083879966
W39,0.1296461030420278
W40,6.074207509901667
W41,8.03009241560203
W42,0.11818648211460023
W43,2.137364785683674
W44,5.533726893529401
W45,1.9271500479542698
W46,3.9898246148537675
W47,3.0637902796368843
W48,1.7335335033959152
W49,7.718632519145748
W50,7.953771046529431
W51,0.7366489648513825
W52,9.726788897388719
W53,0.7341122400967622
W54,9.445795415364165
W55,3.3310155862770996
W56,0.7365198333783635
W57,7.17633579435156
W58,6.96524549961364
W59,2.2767165972067342
W60,6.898432464023013
W61,1.1204430311736089
W62,8.388010998565598
W63,6.549008702050545
W64,0.9396936512342998
W65,8.920984387778923
W66,3.9749863124084803
W67,6.584914830488832
W68,9.032470352314501
W69,1.555452168354074
W70,9.017922304276716
W71,9.090009362057577
W72,6.033800039006207
W73,4.512755375243633
W74,5.938876956440371
W75,1.9836652605079013
W76,6.511538764925383
W77,1.3652581607071475
W78,2.4698139603019778
W79,9.611342884900608
W80,2.5910871135280535
W81,2.048570765092271
W82,4.277176476887389
W83,7.755753240854827
W84,5.6080934430001355
W85,0.9134331086333676
W86,2.82668262093545
W87,8.071730724179128
W88,3.7021021482124445
W89,8.562973905454427
W90,6.595447911346189
W91,8.44425985868796
W92,8.24525520859535
W93,9.252452923281117
W94,0.3055084432361518
W95,4.986128290384931
W96,4.33639648415464
W97,9.954636219369519
W98,2.502175671046725
W99,9.57896769205462
W100,8.866426162597994
W101,1.8497792234931176
W102,2.943838761807876
W103,3.9434487044189113
W104,6.498739038333123
W105,7.434459899243125
W106,2.971725737082072
W107,7.660868630819614
W108,2.237247266642423
W109,5.8086750767554305
W110,5.455819669513609
W111,6.282110101922495
W112,2.8115157348200266
W113,4.049182447910713
W114,8.530618014109546
W115,7.179048287509656
W116,8.833652412193661
W117,7.9945005650343735
W118,6.666607521594263
W119,2.519483053245335
W120,8.441320661959754
W121,3.6077322797592437
W122,0.2386300075845079
W123,6.152968612274579
W124,8.825706386767074
W125,6.998485607284373
W126,4.879949666779931
W127,7.216998161662976
W128,2.4572127172516596
W129,2.291033355306605
W130,0.8249330715814992
W131,9.073562675792527
W132,8.15518491407992
W133,7.674849186845501
W134,0.6689399595809424
W135,4.334831022852935
W136,4.1685101964067846
W137,8.39569269210381
W138,5.103476968877713
W139,10.079806577109435
W140,1.7676888530058226
W141,9.322537910913068
W142,6.292228034139283
W143,4.4110268921842355
W144,8.344079317875133
W145,5.224439052854713
W146,3.2633695408295735
W147,6.1774774728200414
W148,9.61329072551565
W149,2.573998185388138
W150,6.458337634875319
W151,2.9596911055562805
W152,5.559625063743353
W153,6.4029505604549986
W154,4.903250091854936
W155,3.398228564573164
W156,0.17958163129812985
W157,3.7529939611923604
W158,0.772278091374294
W159,0.1789035464220053
W160,2.240690274579594
W161,1.8086557994682946
W162,5.507479910035666
W163,8.270260756944023
W164,8.613528725559528
W165,5.102686193359837
W166,7.777695885224302
W167,6.823238780650762
W168,1.6095386689740117
W169,6.624246322979215
W170,9.223956771602284
W171,3.5296868219312394
W172,9.51197108947816
W173,1.9197469436084773
W174,10.029740825001507
W175,4.283956718379922
W176,4.404163834059109
W177,5.246167770953944
W178,4.575161191576416
W179,8.088559536603215
W180,7.985030938369853
W181,5.218139681992135
W182,4.77729789096985
W183,1.8180334736873913
W184,5.120378932623409
W185,2.2759354140634818
W186,2.994042454165397
W187,1.0476347863443212
W188,3.603265515434908
W189,2.049229904614684
W190,2.786708959703876
W191,7.205093603383824
W192,9.185794013322923
W193,2.5304489252206936
W194,4.88737242606307
W195,7.367576495491941
W196,2.6297473050403815
W197,2.9003138146568928
W198,5.324135896105749
W199,7.50676129054356
W200,4.457438558106134
W201,2.2514400837535424
W202,1.1884652175560961
W203,9.483285890105948
W204,2.6673043832128505
W205,5.9370543600502375
W206,8.186223370784138
W207,0.8341516719985271
W208,0.9581973412393868
W209,1.1777013554972002
W210,8.375190989537261
W211,6.430679465443627
W212,4.273190316566032
W213,1.160343155113652
W214,2.7635238803740187
W215,9.975875748164249
W216,8.03321969982335
W217,6.010220471878998
W218,3.758068065486247
W219,2.6396361245916813
W220,2.241943127896099
W221,2.634025823401103
W222,4.569267688382218
W223,6.405359906026147
W224,9.937589224109061
W225,1.0200383739012095
W226,4.447651042721666
W227,8.528076384338478
W228,3.8376088599108136
W229,5.970719507527125
W230,4.25942545600842
W231,2.6088568714234004
W232,1.721685824330209
W233,4.034123675662466
W234,9.410009583839749
W235,7.113362646015124
W236,6.928263347378527
W237,7.306278979490999
W238,9.377840467740535
W239,5.295522237120655
W240,7.497004819971856
W241,8.201957756652874
W242,3.177566345887037
W243,9.602303615930524
W244,6.808251969724824
W245,8.829020517285379
W246,7.200515226534496
W247,5.35262240630559
W248,0.9736872207216292
W249,9.114575577918908
W250,1.379998739949236
W251,8.20631713019245
W252,9.469041010904828
W253,4.588941119921839
W254,5.610107789289719
W255,3.388625963502869
W256,3.956835278538916
W257,1.6158130370430264
W258,6.950291495817997
W259,2.75178420540656
W260,6.415914314578086
W261,2.3392218762810044
W262,2.1497161647412426
W263,4.239279405651716
W264,0.9442460291972186
W265,4.651918993913016
W266,5.715753301380282
W267,5.237118670113434
W268,2.0628257159908427
W269,2.4951477349797795
W270,7.8126203345988925
W271,5.105029296935041
W272,4.714050175156155
W273,2.569818961667956
W274,1.9144054803716088
W275,0.9279608775764456
W276,6.653968759051317
W277,9.32185407548624
W278,1.9061445823597176
W279,0.6396383861643448
W280,5.030408449531445
W281,3.1373610494171014
W282,1.7499618409700688
W283,1.8897431907981859
W284,8.26481568662479
W285,2.447090273335114
W286,9.486233774778905
W287,9.675495667873163
W288,7.31520204414092
W289,8.424388587830109
W290,5.612472666514496
W291,8.18476863540509
W292,3.810545862869989
W293,8.447185362081637
W294,5.54153933889795
W295,5.317987213824051
W296,3.022887362468813
W297,5.066739234196751
W298,4.8734466642239225
W299,4.683270914436927
