,m
W0,6.612217626929195
W1,4.091710540606882
W2,8.997824429337523
W3,5.8011661245859845
W4,7.1368962723385945
W5,6.7925136850636365
W6,4.289327240382318
W7,3.6013912581894774
W8,2.9294402930336925
W9,6.294681812554921
W10,1.3992197688612942
W11,6.854797313386095
W12,4.680315993450141
W13,8.945472743157104
W14,8.445797827119941
W15,3.4753929002608643
W16,9.265698645245061
W17,7.831289312362273
W18,5.46722134150346
W19,2.6547054439660958
W20,7.846276296423857
W21,7.021626487073742
W22,2.022906203173477
W23,4.5985518469166475
W24,3.9109685359416995
W25,10.377930679649854
W26,7.201652927765374
W27,7.684304169097353
W28,1.8111076663874106
W29,9.221132689312952
W30,9.739855899630852
W31,0.9176105798787052
W32,9.802991049073322
W33,5.091396802404964
W34,7.897232123937542
W35,4.789292309525358
W36,9.492891151425935
W37,3.276070199305991
W38,2.9891756369859706
W39,1.1293319291329145
W40,4.03054922520278
W41,9.555908423353888
W42,4.790748293496257
W43,9.354499058456792
W44,9.753991509580022
W45,1.3750991871802112
W46,6.177601043523237
W47,8.143471843613892
W48,0.9993713940880137
W49,4.372121459925136
W50,9.879468162257297
W51,6.55897213824491
W52,8.725599188369825
W53,10.057028349951318
W54,5.794548421083843
W55,9.95795796267228
W56,4.311546834214116
W57,6.078742386251322
W58,8.613912635886658
W59,1.4777237189168646
W60,1.7981749790385575
W61,10.083960025736733
W62,6.2388375384762895
W63,7.183773503631674
W64,0.9025811925020736
W65,8.346589503044047
W66,0.9079580582102421
W67,8.553515658900665
W68,0.8124980773032556
W69,5.5712725563683305
W70,7.413105556474439
W71,4.415641933495864
W72,5.307060542717851
W73,10.049583287544081
W74,1.623266436732647
W75,5.872718292980746
W76,1.3624276339928645
W77,2.8492769749938778
W78,8.23386071719343
W79,8.560858655527209
W80,9.319504485699579
W81,8.117975147850244
W82,7.5645877089061235
W83,10.320820818278618
W84,6.177499598190087
W85,3.5139042854856912
W86,5.179806114886042
W87,4.883608507567248
W88,8.974359212593699
W89,4.926685349160385
W90,6.209243149154041
W91,5.606849245889983
W92,5.168271971983173
W93,9.821566465727482
