,m
W0,1.7928536505949482
W1,3.096770726254028
W2,0.6914213442958422
W3,9.345348528543049
W4,2.5768703116791842
W5,4.644333276992039
W6,2.3022799773299947
W7,7.1915561115166104
W8,2.9035542071235247
W9,3.6147507955313736
W10,1.4164658074540963
W11,3.3865845974867046
W12,8.343917144366603
W13,5.121689101593611
W14,10.323943803556356
W15,4.497018500371521
W16,5.891339154192681
W17,6.681268771601142
W18,6.496865379030327
W19,3.4640071547493
W20,6.316397188455567
W21,9.765407288240736
W22,3.252668617745355
W23,4.461127121963197
W24,7.204652978345876
W25,9.60187921060274
W26,1.699901871384552
W27,2.803291399524637
W28,5.437263225950601
W29,2.374708372743325
W30,0.5764307819064213
W31,3.8089294689556596
W32,2.538295410380186
W33,2.7736658534832372
W34,7.157777382095109
W35,4.822356664334014
W36,4.417747868718824
W37,8.493282657733817
W38,7.147204946872234
W39,1.6627433650162857
W40,3.069904785505423
W41,7.273536943624893
W42,2.6332262473700547
W43,0.9666662953423558
W44,2.7770719346537134
W45,7.845090419271992
W46,4.216901128256177
W47,8.826019918079325
W48,9.89456330651873
W49,8.889158581520512
W50,6.84795190574204
W51,8.463573420605671
W52,7.390889058810747
W53,10.290161047657957
W54,6.653295360716919
W55,4.746438566314389
W56,9.524893878463924
W57,9.619750708913026
W58,8.311591357108377
W59,7.498667274433097
W60,8.406584427648783
W61,8.763200661265188
W62,10.107201733905146
W63,10.44014804528993
W64,2.4273039486531087
W65,9.590859415171359
W66,2.732321222292246
W67,1.4104973753519405
W68,2.4256502581777877
W69,7.298558063568953
W70,6.958019555635441
W71,0.9111181359554438
W72,2.872544601082878
W73,10.44602390778764
W74,5.493224539324083
W75,6.262176631155066
W76,6.2160697811958245
W77,2.9797219298258635
W78,3.0391518177808847
W79,1.7228670150313636
W80,10.405297887642341
W81,5.984115333559379
W82,8.487782570996972
W83,2.118874650691867
W84,3.671384919734367
W85,5.425913569170111
W86,7.40987874490479
W87,6.69230413463793
W88,7.469048968842903
W89,1.1191254039199932
W90,2.093445622742079
W91,1.8337976396428517
W92,8.275825250771007
W93,3.4268219219222233
W94,5.59227449671353
W95,10.477151844885828
W96,3.5370165848958264
W97,4.170749612197115
W98,4.475401962066008
W99,7.505934075733645
W100,2.9452934676119376
W101,8.616300945325243
W102,5.898753154554071
W103,9.470803213810537
W104,8.892151154392172
W105,1.5297684789313308
W106,3.0060565505626213
W107,9.53946685760804
W108,10.351668756743106
W109,8.391543457756503
W110,2.616201448606773
W111,4.5763889345062445
W112,2.2377869974965163
W113,10.138753197069436
W114,10.272831212155475
W115,10.022757171989385
W116,6.4461352466670885
W117,1.8046195528094782
W118,9.871560801210533
W119,7.051632246448407
W120,4.481338942345862
W121,8.066716488956791
W122,4.155672265211492
W123,4.130809527166987
W124,1.1716399223426834
W125,5.529888921301382
W126,3.9419056724495642
W127,3.3730267335422024
W128,9.911669036936336
W129,2.8925553478656467
W130,8.797337109484488
W131,0.6458197434283035
W132,9.898641308050836
W133,4.738226964817307
W134,7.173041981259707
W135,4.90254920173556
W136,7.646464103647681
W137,2.9444473209618995
W138,1.6125278079109844
W139,6.71840711317353
W140,3.9910662532127352
W141,2.3059934091111383
W142,8.735066756444445
W143,9.636889931768964
W144,8.297546383655447
W145,9.349425268928032
W146,6.058792390956559
W147,1.6152115012471184
W148,9.501663876529044
W149,4.802071081848656
W150,8.960741485584302
W151,1.1724997826986454
W152,8.112066819070803
W153,5.465919613966442
W154,9.046339717258942
W155,10.429626497680516
W156,4.553860765709676
W157,4.330709014732833
W158,3.242246924926064
W159,2.0868376392989747
W160,3.715364010838284
W161,10.027091939590397
W162,4.349079917259239
W163,2.8421053668782603
W164,9.431599299866352
W165,7.493512489656051
W166,7.188926141462434
W167,7.57977954154639
W168,6.027962281397557
W169,2.1715621789537347
W170,9.755597131222002
W171,4.640401691857997
W172,8.742274441142477
W173,3.8094268001796996
W174,4.8973567570211864
W175,3.5113519653702157
W176,0.9624432302168479
W177,2.116565654626198
W178,9.233127891038713
W179,8.704907534887758
W180,1.6613422503346946
W181,7.11308564202588
W182,4.850281139735879
W183,3.289742418971836
W184,8.05183822725493
W185,1.4374793760714526
W186,4.49886444528603
W187,3.9379051775267238
W188,1.8469868290294262
W189,3.5825569372937625
W190,2.0112908543761168
W191,3.3587631293235627
W192,2.657483786670012
W193,5.491046471789431
W194,9.504880188679978
W195,5.128084427607934
W196,8.66759677633599
W197,8.740946251463285
W198,5.417466389051267
W199,7.555300808283832
W200,4.619402475316855
W201,4.24185189132526
W202,3.219471458293392
W203,9.554176982901842
W204,4.881846941357897
W205,10.13747457430753
W206,4.900342265256845
W207,8.687817499995468
W208,3.817485831299891
W209,10.363879582483845
W210,3.1543832992882037
W211,4.074992515883435
W212,4.430131280819942
W213,8.071099815047933
W214,2.0357978208811414
W215,0.9574364815100572
W216,7.800492403039703
W217,3.0712357046283647
W218,9.583512977448107
W219,4.2061092986853
W220,9.31150489064267
W221,0.9504564331972257
W222,1.0535508613861693
W223,5.706706564244055
W224,1.0588116746278968
W225,1.3658190725333645
W226,6.395737188200019
W227,9.17457924414402
W228,7.934871682136708
W229,9.178328885027824
W230,1.6088290127333709
W231,10.396344777043415
W232,9.093930342959217
W233,0.9657622513933821
W234,3.4958890797505773
W235,3.0986115848975766
W236,6.337389889568014
W237,3.9079324678948955
W238,8.542377330022717
W239,5.987901334936148
W240,8.059502463964959
W241,0.634739075090272
W242,5.168608280572442
W243,7.405373986915839
W244,3.0036909307845274
W245,6.0735671516326075
W246,4.309091369403561
W247,8.925226731388445
W248,9.617294711285293
W249,9.474840889865682
W250,2.0900248006960287
W251,7.187766804535325
W252,8.764602746220168
W253,7.9872759579902635
W254,3.765144042097985
W255,8.76812027964926
W256,5.482510021648244
W257,10.158232022358973
W258,5.159293508273573
W259,3.3753766687275846
W260,1.5985506124614195
W261,4.741322727927066
W262,2.0601025360137117
W263,9.651015840405995
W264,3.8471904452124197
W265,2.976264118866911
W266,2.1165192896258973
W267,1.2386638417440514
W268,8.418541258288302
W269,4.323589237092417
W270,6.691121281797375
W271,10.010626693216073
W272,8.870682042456952
W273,6.654483689746395
W274,6.201323325686937
W275,4.688604443711052
W276,0.964385744958383
W277,3.3290318617705545
W278,1.2201177913738543
W279,0.6920049973841595
W280,7.253482391508732
W281,1.9849687011486399
W282,1.1653024467325506
W283,8.912642003389559
W284,5.659599434674756
W285,6.328847932842849
W286,1.983439300261191
W287,5.277744104800045
W288,8.23158693396222
W289,2.8445474307442966
W290,6.299114915133007
W291,4.251464545901087
W292,5.11827403867016
W293,2.225497988968553
W294,6.256129346587593
W295,5.99919970013286
W296,8.641926386833786
W297,7.240659909973978
W298,8.785885606788932
W299,1.9186566962908949
