,m
W0,1.5945803233241438
W1,5.368728067984228
W2,9.088363002129622
W3,5.9708278991823915
W4,10.1634466293049
W5,9.937736808615938
W6,4.5368591677681485
W7,7.895218400955922
W8,5.24230670204988
W9,4.026186956055383
W10,8.043692565231996
W11,6.170246598004317
W12,8.985999820733898
W13,3.6271870460417466
W14,3.614884686817968
W15,1.8205634223262457
W16,1.9403660674271637
W17,3.3182232891172303
W18,8.714635026756692
W19,0.8525747480400446
W20,7.9555159026749696
W21,7.63672020190525
W22,9.233050207183396
W23,1.645709313350875
W24,4.546010100457228
W25,9.697321384672417
W26,5.34772673028355
W27,8.609690076014656
W28,8.053821194325648
W29,2.753303012422517
W30,8.765757488938068
W31,2.3704756710991823
W32,8.027448288834316
W33,3.2632409974609384
W34,8.624609692378824
W35,9.417701387776033
W36,7.866689166881782
W37,1.1987378744591402
W38,8.204803172314207
W39,9.346452788506703
W40,1.7849359310319943
W41,0.7664384768828668
W42,9.732758334423039
W43,5.601679559247152
W44,7.153613336648483
W45,1.2297834276976058
W46,6.959226452775019
W47,5.694728080113902
W48,10.46620495278324
W49,5.7079360070496525
W50,8.154166215517234
W51,7.259194562825524
W52,8.067886402522701
W53,3.4053012728487833
W54,4.121305931188518
W55,9.502404248844822
W56,3.3563430436350465
W57,4.231903391330033
W58,5.021532213816855
W59,4.037340607266187
W60,7.019220511493143
W61,0.9203162824281972
W62,2.3861420967966738
W63,7.587153284298027
W64,0.7691444242657995
W65,8.672918527284777
W66,5.570565199488344
W67,5.446570530174794
W68,4.267675347455762
W69,1.2182828655545506
W70,7.879636487301563
W71,5.884930674859077
W72,5.094601124794102
W73,5.007865193045534
W74,5.66213981013912
W75,8.819606063110443
W76,2.6231493677626125
W77,4.830079405526542
W78,8.984436616061839
W79,10.307517056822014
W80,10.142620457136447
W81,6.499429007277415
W82,4.445016814085074
W83,7.9859411905028175
W84,1.6493486375371709
W85,2.3739085966196702
W86,3.0039264644539774
W87,4.875805365943594
W88,6.828660311869626
W89,4.399764073623731
W90,9.969393633048256
W91,5.474224438602231
W92,1.9065291005126568
W93,10.370718390697848
W94,8.305173434644454
W95,3.489582821213701
W96,7.688019352157061
W97,5.280027327997686
W98,3.7902155290271686
W99,1.1944407145862832
W100,2.3949559383782484
W101,2.1062194191999715
W102,0.6029924693477027
W103,4.604207000052592
W104,0.6871317383387086
W105,10.057942496638818
W106,5.619525532831895
W107,6.305606518578769
W108,4.2704505667262325
W109,10.270369665610252
W110,4.102767469240809
W111,8.437726200637194
W112,0.8533616103709772
W113,7.0959376670936285
W114,7.550421695599775
W115,10.354288066550227
W116,9.403439659859744
W117,8.072086153119155
W118,6.3658718054648284
W119,10.334314032992717
W120,6.507461807727213
W121,8.245812538793437
W122,1.7529024734608851
W123,7.271359564876702
W124,9.431272074838043
W125,9.020581578308828
W126,7.863528011789684
W127,2.5827992003194
W128,6.327390155200832
W129,7.998219492499087
W130,7.411302689638161
W131,1.175178028866145
W132,8.930318751817401
W133,6.496306655325703
W134,3.3746449972493155
W135,2.235196624269186
W136,3.922447171489559
W137,7.541880230894559
W138,8.486655949597921
W139,4.33186552092788
W140,10.12107118777792
W141,0.9795660720124012
W142,5.004981117837233
W143,8.844098298160871
W144,2.828711614722492
W145,9.264818077498257
W146,0.576919840154465
W147,1.0402878753972886
W148,4.392235594974069
W149,6.857187873812285
W150,9.534600728730156
W151,7.7906502111152145
W152,7.3430861769824425
W153,4.133934657824502
W154,9.945274395481713
W155,4.310496164164836
W156,9.621607006569636
W157,4.984941198634367
W158,3.6778899418333153
W159,5.5458516725897224
W160,0.7652582893977963
W161,8.005381752646189
W162,6.005515117494537
W163,9.331002973048315
W164,5.743669466098452
W165,5.598787585690758
W166,4.587928183085828
W167,2.559916911268579
W168,1.7147391486649468
W169,9.765411056797689
W170,0.7746676579279119
W171,6.161568247283758
W172,4.806230340708911
W173,7.910713126599626
W174,10.156433613921594
W175,1.0686813490294529
W176,5.772613732595018
W177,8.027367831027412
W178,9.114225832261393
W179,1.5158427251248208
W180,10.44999105459478
W181,8.558610421812245
W182,2.260420829777777
W183,4.039051939495261
W184,10.262505741097053
W185,5.6428703530998865
W186,2.145466338362959
W187,7.906090311938589
W188,9.333918300309687
W189,8.69771679115017
W190,9.761569003637495
W191,10.100850520420108
W192,2.227156529834061
W193,8.63934205058685
W194,0.628355363740125
W195,5.734449466225206
W196,2.0034233560696744
W197,7.668570991314553
W198,10.248797237165071
W199,4.639877146000331
W200,9.855204503162533
W201,5.5750129437879785
W202,7.808921495665722
W203,10.409088608005783
W204,3.201828735602895
W205,0.8609661533605205
W206,5.814882529402813
W207,10.324052395745618
W208,3.8480462609201282
W209,5.933294311382105
W210,6.2518699015238655
W211,7.0001217302809025
W212,9.3599224103248
W213,1.2753775335547255
W214,4.2417403249647965
W215,7.539397922648082
W216,1.6096000000819217
W217,4.451277340448193
W218,6.182764364730932
W219,9.880692995132582
W220,2.0628520585066776
W221,8.50671534028831
W222,2.5415650454263856
W223,5.0777808391101935
W224,1.9329577964073803
W225,8.117989822289005
W226,2.026145381596611
W227,3.6658408134978284
W228,8.767734515842003
W229,9.362410628076564
W230,2.828886318622384
W231,7.1330108863827215
W232,9.000793878281389
W233,5.108246797492468
W234,7.085147357616648
W235,0.6500221149061811
