,Environment,alpha
W0,Site 1,0.0812662201586749
W1,Site 1,0.2100323746660031
W2,Site 1,0.0699519770724587
W3,Site 1,0.5273510234392319
W4,Site 1,0.5126458891115668
W5,Site 1,0.6942472636014272
W6,Site 1,0.782409607745638
W7,Site 1,0.42539182076000737
W8,Site 1,0.2682346071488051
W9,Site 1,0.4850929841376236
W10,Site 1,0.13874127511668766
W11,Site 1,0.4171060804927143
W12,Site 1,0.4974759263465897
W13,Site 1,0.3093651340232856
W14,Site 1,0.2312352455031238
W15,Site 1,0.3087657801187258
W16,Site 1,0.12883690287497696
W17,Site 1,0.4654081834264853
W18,Site 1,0.8445487911068426
W19,Site 1,0.9197452521557709
W20,Site 1,0.061223060935042824
W21,Site 1,0.976181614046166
W22,Site 1,0.9564999576842184
W23,Site 1,0.3884426593338733
W24,Site 1,0.07939895882706194
W25,Site 1,0.27928377196915
W26,Site 1,0.8457787604498456
W27,Site 1,0.16256768548554246
W28,Site 1,0.8307426777802839
W29,Site 1,0.024987981546346738
W30,Site 1,0.2195340815968525
W31,Site 1,0.7679170065589894
W32,Site 1,0.7999579610694351
W33,Site 1,0.5146548122280273
W34,Site 1,0.4721063733612157
W35,Site 1,0.42988664953853817
W36,Site 1,0.07077892580539002
W37,Site 1,0.2851511179152331
W38,Site 1,0.37356187932314144
W39,Site 1,0.1538875259302629
W40,Site 1,0.13788784523336572
W41,Site 1,0.5172976374685571
W42,Site 1,0.9645950688993252
W43,Site 1,0.6731517561819744
W44,Site 1,0.23854413368736596
W45,Site 1,0.32883359881201124
W46,Site 1,0.9813062604791156
W47,Site 1,0.1463399993161444
W48,Site 1,0.02196051605679994
W49,Site 1,0.5128768400752067
W50,Site 1,0.0914562307183997
W51,Site 1,0.8829343146452369
W52,Site 1,0.2116368961313065
W53,Site 1,0.7148062969025633
W54,Site 1,0.9320620599352214
W55,Site 1,0.7427572159228419
W56,Site 1,0.8191821262056704
W57,Site 1,0.5635692227271905
W58,Site 1,0.2210259107981488
W59,Site 1,0.6316787836137002
W60,Site 1,0.8606349957662347
W61,Site 1,0.2145942797567576
W62,Site 1,0.5577036799467178
W63,Site 1,0.05825390889252036
W64,Site 1,0.4448019023988653
W65,Site 1,0.6568554971366046
W66,Site 1,0.2838893321287149
W67,Site 1,0.9569995682092702
W68,Site 1,0.14539308493149372
W69,Site 1,0.6084746522749266
W70,Site 1,0.6731762715639917
W71,Site 1,0.5268344392167121
W72,Site 1,0.0017292190719334632
W73,Site 1,0.08090253863622521
